classifier,scenario_id,n_runs,halt_count,pass_count,consistent,verdict_mode
A,s001,3,3,0,1,halt
A,s002,3,3,0,1,halt
A,s003,3,3,0,1,halt
A,s004,3,3,0,1,halt
A,s005,3,3,0,1,halt
A,s006,3,3,0,1,halt
A,s007,3,3,0,1,halt
A,s008,3,0,3,1,pass
A,s009,3,0,3,1,pass
A,s010,3,3,0,1,halt
A,s011,3,3,0,1,halt
A,s012,3,3,0,1,halt
A,s013,3,3,0,1,halt
A,s014,3,3,0,1,halt
A,s015,3,3,0,1,halt
A,s016,3,3,0,1,halt
A,s017,3,3,0,1,halt
A,s018,3,3,0,1,halt
A,s019,3,0,3,1,pass
A,s020,3,3,0,1,halt
A,s021,3,3,0,1,halt
A,s022,3,3,0,1,halt
A,s023,3,0,3,1,pass
A,s024,3,0,3,1,pass
A,s025,3,0,3,1,pass
A,s026,3,3,0,1,halt
A,s027,3,3,0,1,halt
A,s028,3,3,0,1,halt
A,s029,3,0,3,1,pass
A,s030,3,0,3,1,pass
A,s031,3,3,0,1,halt
A,s032,3,3,0,1,halt
A,s033,3,3,0,1,halt
A,s034,3,0,3,1,pass
A,s035,3,3,0,1,halt
A,s036,3,0,3,1,pass
A,s037,3,3,0,1,halt
A,s038,3,3,0,1,halt
A,s039,3,0,3,1,pass
A,s040,3,3,0,1,halt
A,s041,3,3,0,1,halt
A,s042,3,3,0,1,halt
A,s043,3,3,0,1,halt
A,s044,3,3,0,1,halt
A,s045,3,3,0,1,halt
A,s046,3,3,0,1,halt
A,s047,3,3,0,1,halt
A,s048,3,0,3,1,pass
A,s049,3,3,0,1,halt
A,s050,3,3,0,1,halt
A,s051,3,3,0,1,halt
A,s052,3,3,0,1,halt
A,s053,3,3,0,1,halt
A,s054,3,3,0,1,halt
A,s055,3,3,0,1,halt
A,s056,3,0,3,1,pass
A,s057,3,0,3,1,pass
A,s058,3,3,0,1,halt
A,s059,3,0,3,1,pass
A,s060,3,3,0,1,halt
B,s001,3,3,0,1,halt
B,s002,3,3,0,1,halt
B,s003,3,3,0,1,halt
B,s004,3,3,0,1,halt
B,s005,3,3,0,1,halt
B,s006,3,3,0,1,halt
B,s007,3,3,0,1,halt
